177/1602, iter = 0.060540 seconds
178/1602, iter = 0.059657 seconds
179/1602, iter = 0.101047 seconds
180/1602, iter = 0.059918 seconds
181/1602, iter = 0.100136 seconds
182/1602, iter = 0.069820 seconds
183/1602, iter = 0.121462 seconds
184/1602, iter = 0.132194 seconds
185/1602, iter = 0.102646 seconds
186/1602, iter = 0.060070 seconds
187/1602, iter = 0.050964 seconds
188/1602, iter = 0.010802 seconds
189/1602, iter = 0.081374 seconds
190/1602, iter = 0.031226 seconds
191/1602, iter = 0.092657 seconds
192/1602, iter = 0.120993 seconds
193/1602, iter = 0.049509 seconds
194/1602, iter = 0.040236 seconds
195/1602, iter = 0.041395 seconds
196/1602, iter = 0.040421 seconds
197/1602, iter = 0.061918 seconds
198/1602, iter = 0.060448 seconds
199/1602, iter = 0.079348 seconds
200/1602, iter = 0.031145 seconds
201/1602, iter = 0.069047 seconds
202/1602, iter = 0.059477 seconds
203/1602, iter = 0.050513 seconds
204/1602, iter = 0.020728 seconds
205/1602, iter = 0.051075 seconds
206/1602, iter = 0.040362 seconds
207/1602, iter = 0.060101 seconds
208/1602, iter = 0.088952 seconds
209/1602, iter = 0.031359 seconds
210/1602, iter = 0.010483 seconds
211/1602, iter = 0.009948 seconds
212/1602, iter = 0.031197 seconds
213/1602, iter = 0.029802 seconds
214/1602, iter = 0.040226 seconds
215/1602, iter = 0.050450 seconds
216/1602, iter = 0.030442 seconds
217/1602, iter = 0.040819 seconds
218/1602, iter = 0.041414 seconds
219/1602, iter = 0.031057 seconds
220/1602, iter = 0.029341 seconds
221/1602, iter = 0.069663 seconds
222/1602, iter = 0.039946 seconds
223/1602, iter = 0.029962 seconds
224/1602, iter = 0.039741 seconds
225/1602, iter = 0.029853 seconds
226/1602, iter = 0.080153 seconds
227/1602, iter = 0.041079 seconds
228/1602, iter = 0.042140 seconds
229/1602, iter = 0.041207 seconds
230/1602, iter = 0.030926 seconds
231/1602, iter = 0.020203 seconds
232/1602, iter = 0.009965 seconds
233/1602, iter = 0.020872 seconds
234/1602, iter = 0.049515 seconds
235/1602, iter = 0.061165 seconds
236/1602, iter = 0.050661 seconds
237/1602, iter = 0.040687 seconds
238/1602, iter = 0.050844 seconds
239/1602, iter = 0.010577 seconds
240/1602, iter = 0.020700 seconds
241/1602, iter = 0.041287 seconds
242/1602, iter = 0.020769 seconds
243/1602, iter = 0.040482 seconds
244/1602, iter = 0.010168 seconds
245/1602, iter = 0.020087 seconds
246/1602, iter = 0.020248 seconds
247/1602, iter = 0.010296 seconds
248/1602, iter = 0.030460 seconds
249/1602, iter = 0.020278 seconds
250/1602, iter = 0.030615 seconds
251/1602, iter = 0.020725 seconds
252/1602, iter = 0.010794 seconds
253/1602, iter = 0.030254 seconds
254/1602, iter = 0.020535 seconds
255/1602, iter = 0.051712 seconds
256/1602, iter = 0.010276 seconds
257/1602, iter = 0.020630 seconds
258/1602, iter = 0.009834 seconds
259/1602, iter = 0.010765 seconds
260/1602, iter = 0.010410 seconds
261/1602, iter = 0.000265 seconds
262/1602, iter = 0.010665 seconds
263/1602, iter = 0.029515 seconds
264/1602, iter = 0.010505 seconds
265/1602, iter = 0.021838 seconds
266/1602, iter = 0.010457 seconds
267/1602, iter = 0.010933 seconds
268/1602, iter = 0.010797 seconds
269/1602, iter = 0.009832 seconds
270/1602, iter = 0.020449 seconds
271/1602, iter = 0.020284 seconds
272/1602, iter = 0.000352 seconds
273/1602, iter = 0.010818 seconds
274/1602, iter = 0.039168 seconds
275/1602, iter = 0.020210 seconds
276/1602, iter = 0.000316 seconds
277/1602, iter = 0.010245 seconds
278/1602, iter = 0.000283 seconds
279/1602, iter = 0.010123 seconds
280/1602, iter = 0.010581 seconds
281/1602, iter = 0.010255 seconds
282/1602, iter = 0.000261 seconds
283/1602, iter = 0.019791 seconds
284/1602, iter = 0.020269 seconds
285/1602, iter = 0.030655 seconds
286/1602, iter = 0.000281 seconds
287/1602, iter = 0.000260 seconds
288/1602, iter = 0.010654 seconds
289/1602, iter = 0.009700 seconds
290/1602, iter = 0.000293 seconds
291/1602, iter = 0.000246 seconds
292/1602, iter = 0.000234 seconds
293/1602, iter = 0.031103 seconds
294/1602, iter = 0.000267 seconds
295/1602, iter = 0.040376 seconds
296/1602, iter = 0.000282 seconds
297/1602, iter = 0.000261 seconds
298/1602, iter = 0.000246 seconds
299/1602, iter = 0.000234 seconds
300/1602, iter = 0.000231 seconds
301/1602, iter = 0.010511 seconds
302/1602, iter = 0.000230 seconds
303/1602, iter = 0.010212 seconds
304/1602, iter = 0.000221 seconds
305/1602, iter = 0.000230 seconds
306/1602, iter = 0.009886 seconds
307/1602, iter = 0.000225 seconds
308/1602, iter = 0.010450 seconds
309/1602, iter = 0.010002 seconds
310/1602, iter = 0.000215 seconds
311/1602, iter = 0.000216 seconds
312/1602, iter = 0.010607 seconds
313/1602, iter = 0.000248 seconds
314/1602, iter = 0.031204 seconds
315/1602, iter = 0.000234 seconds
316/1602, iter = 0.000214 seconds
317/1602, iter = 0.000180 seconds
318/1602, iter = 0.010046 seconds
319/1602, iter = 0.000213 seconds
320/1602, iter = 0.010385 seconds
321/1602, iter = 0.009895 seconds
322/1602, iter = 0.000280 seconds
323/1602, iter = 0.000260 seconds
324/1602, iter = 0.010236 seconds
325/1602, iter = 0.000263 seconds
326/1602, iter = 0.010022 seconds
327/1602, iter = 0.000277 seconds
